id,text,labels,group,split,genre_top,subset
1069,"Track: Un Lagrima en la Discoteca. Artist: Lucky Dragons. Album: Norteñas. From Los Angeles, CA. Tags: lucky dragons.",Experimental,Lucky Dragons,test,Experimental,small
1073,"Track: Onda Tocadisco. Artist: Lucky Dragons. Album: Norteñas. From Los Angeles, CA. Tags: lucky dragons.",Experimental,Lucky Dragons,test,Experimental,small
1075,"Track: Painful Corazon. Artist: Lucky Dragons. Album: Norteñas. From Los Angeles, CA. Tags: lucky dragons.",Experimental,Lucky Dragons,test,Experimental,small
1082,Track: Nam Nhi-tu. Artist: M. Nguyen Van Minh-Con. Album: Black Mirror: Reflections In Global Musics (1915-1955). Tags: m nguyen van minh-con.,International,M. Nguyen Van Minh-Con,train,International,small
1083,"Track: Feasting on Energy. Artist: Magic Lantern. Album: High Beams. From Long Beach, CA. Tags: magic lantern.",Avant-Garde|Experimental,Magic Lantern,train,Experimental,small
1087,"Track: Tell The Police The Truth. Artist: Mahjongg. Album: Kontpab. From Chicago, IL. Tags: mahjongg.",Rock,Mahjongg,val,Rock,small
1102,"Track: Rare Vodka from the Fourteenth Century. Artist: Mary Halvorson and Weasel Walter. Album: Opulence. From Chicago, IL. Tags: mary halvorson and weasel walter.",Rock,Mary Halvorson and Weasel Walter,train,Rock,small
1193,"Track: Wooly Mammoth's Absence. Artist: Mount Eerie. Album: Seven New Songs. From Anacortes, WA. Tags: mount eerie.",Folk,Mount Eerie,train,Folk,small
1195,"Track: With My Hands Out. Artist: Mount Eerie. Album: Seven New Songs. From Anacortes, WA. Tags: mount eerie.",Folk,Mount Eerie,train,Folk,small
1196,"Track: 2 Blonde Braids. Artist: Mount Eerie. Album: Seven New Songs. From Anacortes, WA. Tags: mount eerie.",Folk,Mount Eerie,train,Folk,small
1197,"Track: My Burning. Artist: Mount Eerie. Album: Seven New Songs. From Anacortes, WA. Tags: mount eerie.",Folk,Mount Eerie,train,Folk,small
1249,"Track: ""Cleanse Bath"" 10"" Metal Laquer. Artist: Nautical Almanac. Album: Handcut Record Transfers. From Baltimore, MD. Tags: baltimore, baltimore, tarantula hill, chicago, nautical almanac.",Noise|Experimental,Nautical Almanac,test,Experimental,small
1259,"Track: Rolling In The Green. Artist: Nautical Almanac. Album: Cover The Earth. From Baltimore, MD. Tags: baltimore, tarantula hill, chicago, nautical almanac.",Noise|Experimental,Nautical Almanac,test,Experimental,small
1270,"Track: Cocksuckerbastardmotherfucker. Artist: Necropolis. Album: Workingman / Cocksuckerbastardmotherfucker 7"". From Columbus, OH. Tags: necropolis.",Punk|Rock,Necropolis,train,Rock,small
1276,"Track: Richard Nixon Died Today. Artist: Negativland. Album: Thigmotactic. From San Francisco, CA. Tags: san francisco, negativland, sampling.",Experimental,Negativland,train,Experimental,small
1277,"Track: No Business. Artist: Negativland. Album: No Business. From San Francisco, CA. Tags: san francisco, negativland, sampling.",Experimental,Negativland,train,Experimental,small
1278,"Track: Downloading. Artist: Negativland. Album: No Business. From San Francisco, CA. Tags: san francisco, negativland, sampling.",Experimental,Negativland,train,Experimental,small
1417,"Track: Guns of Thunder. Artist: Pierced Arrows. Album: Straight To the Heart. From Calackmas, Oregon. Tags: pierced arrows.",Rock,Pierced Arrows,train,Rock,small
1427,"Track: I Feel Evils. Artist: Plastic Crimewave Sound. Album: Painted Shadows. From Chicago, IL. Tags: plastic crimewave sound.",Rock,Plastic Crimewave Sound,train,Rock,small
1443,"Track: Time Fist. Artist: Pocahaunted. Album: Bored Fortress Single Series Split w. Charalambides. From Eagle Rock, CA. Tags: pocahaunted.",Experimental|Drone,Pocahaunted,train,Experimental,small
1482,Track: Reindeer Dance. Artist: Rainbro. Album: Vectors. Tags: rainbro.,Electronic,Rainbro,train,Electronic,small
1510,Track: Zombie. Artist: Ric Royer &amp; G. Lucas Crane. Album: They Lured Us Into the Basement. From Baltimore. MD. Tags: ric royer amp g lucas crane.,Noise|Experimental,Ric Royer &amp; G. Lucas Crane,train,Experimental,small
1544,"Track: Song of The Stations. Artist: Samara Lubelski. Album: In The Valley. From New York, NY. Tags: samara lubelski.",Psych-Folk|Folk,Samara Lubelski,train,Folk,small
1642,"Track: Hrz. Artist: So Cow. Album: Wackity Schmackity Doo. From Tuam, Ireland. Tags: tuam ireland pop punk noise korea, so cow.",Pop,So Cow,train,Pop,small
1644,"Track: Outskirts. Artist: So Cow. Album: Wackity Schmackity Doo. From Tuam, Ireland. Tags: tuam ireland pop punk noise korea, so cow.",Pop,So Cow,train,Pop,small
1649,"Track: Inis Meain. Artist: So Cow. Album: Wackity Schmackity Doo. From Tuam, Ireland. Tags: tuam ireland pop punk noise korea, so cow.",Pop,So Cow,train,Pop,small
1661,"Track: Only Fools and Horses Theme. Artist: So Cow. Album: Wackity Schmackity Doo. From Tuam, Ireland. Tags: tuam ireland pop punk noise korea, so cow.",Pop,So Cow,train,Pop,small
1663,"Track: So High. Artist: Softboiled Eggies. Album: Egg Soldiers. From Los Angeles, CA. Tags: softboiled eggies.",Pop,Softboiled Eggies,train,Pop,small
1666,"Track: She Fell Through the Trees. Artist: Softboiled Eggies. Album: Egg Soldiers. From Los Angeles, CA. Tags: softboiled eggies.",Pop,Softboiled Eggies,train,Pop,small
1673,"Track: Track 07. Artist: Solemn Man. Album: Thee Haunted Cobblestone Sunset Concert Series #10. From Providence, RI. Tags: solemn man.",Experimental|Field Recordings,Solemn Man,train,Experimental,small
1680,"Track: Bashraf Salama. Artist: The Sounds of Taraab. Album: Zanzibar, New York. From New York, NY. Tags: the sounds of taraab.",International,The Sounds of Taraab,train,International,small
1681,"Track: Daka Kozi Manowe. Artist: The Sounds of Taraab. Album: Zanzibar, New York. From New York, NY. Tags: the sounds of taraab.",International,The Sounds of Taraab,train,International,small
1682,"Track: Nie Zama Nie Sema. Artist: The Sounds of Taraab. Album: Zanzibar, New York. From New York, NY. Tags: the sounds of taraab.",International,The Sounds of Taraab,train,International,small
1683,"Track: Mapenzi Matamu. Artist: The Sounds of Taraab. Album: Zanzibar, New York. From New York, NY. Tags: the sounds of taraab.",International,The Sounds of Taraab,train,International,small
1684,"Track: Mahaba Wa Taka Nini. Artist: The Sounds of Taraab. Album: Zanzibar, New York. From New York, NY. Tags: the sounds of taraab.",International,The Sounds of Taraab,train,International,small
1685,"Track: Eni Wana Damu. Artist: The Sounds of Taraab. Album: Zanzibar, New York. From New York, NY. Tags: the sounds of taraab.",International,The Sounds of Taraab,train,International,small
1686,"Track: Rufiji. Artist: The Sounds of Taraab. Album: Zanzibar, New York. From New York, NY. Tags: the sounds of taraab.",International,The Sounds of Taraab,train,International,small
1687,"Track: Lala, Mpenzi Lala. Artist: The Sounds of Taraab. Album: Zanzibar, New York. From New York, NY. Tags: the sounds of taraab.",International,The Sounds of Taraab,train,International,small
1688,"Track: Sishituki. Artist: The Sounds of Taraab. Album: Zanzibar, New York. From New York, NY. Tags: the sounds of taraab.",International,The Sounds of Taraab,train,International,small
1689,"Track: Unalo. Artist: The Sounds of Taraab. Album: Zanzibar, New York. From New York, NY. Tags: the sounds of taraab.",International,The Sounds of Taraab,train,International,small
1701,"Track: Clouds. Artist: Spires That in the Sunset Rise. Album: This is Fire. From Chicago, IL. Tags: spires that in the sunset rise.",Folk,Spires That in the Sunset Rise,train,Folk,small
1702,"Track: Java Pop. Artist: Spires That in the Sunset Rise. Album: Curse the Traced Bird. From Chicago, IL. Tags: spires that in the sunset rise.",Folk,Spires That in the Sunset Rise,train,Folk,small
1703,"Track: Equus Haar. Artist: Spires That in the Sunset Rise. Album: Curse the Traced Bird. From Chicago, IL. Tags: spires that in the sunset rise.",Folk,Spires That in the Sunset Rise,train,Folk,small
1704,"Track: Morning Song. Artist: Spires That in the Sunset Rise. Album: This is Fire. From Chicago, IL. Tags: spires that in the sunset rise.",Folk,Spires That in the Sunset Rise,train,Folk,small
1706,"Track: In the Pineys. Artist: Strapping Fieldhands. Album: In the Pineys. From Philadelphia, PA. Tags: strapping fieldhands.",Rock,Strapping Fieldhands,train,Rock,small
1720,"Track: Harken Sunshine. Artist: Sun Araw. Album: The Phynx. From Los Angeles, CA. Tags: sun araw.",Rock,Sun Araw,train,Rock,small
1732,"Track: Black Jerusalem. Artist: Teeth Mountain. Album: Teeth Mtn CD-R. From Baltimore, MD. Tags: baltimore, teeth mountain.",Experimental,Teeth Mountain,train,Experimental,small
1733,"Track: Keinsein. Artist: Teeth Mountain. Album: Teeth Mtn CD-R. From Baltimore, MD. Tags: baltimore, teeth mountain.",Experimental,Teeth Mountain,train,Experimental,small
1735,"Track: Ghost Science. Artist: Teeth Mountain. Album: Teeth Mtn CD-R. From Baltimore, MD. Tags: baltimore, teeth mountain.",Experimental,Teeth Mountain,train,Experimental,small
1736,"Track: Soft Beast. Artist: Teeth Mountain. Album: Teeth Mtn CD-R. From Baltimore, MD. Tags: baltimore, teeth mountain.",Experimental,Teeth Mountain,train,Experimental,small
1883,"Track: I Do What I Do. Artist: The Yolks. Album: Introducing The Yolks. From Chicago, IL. Tags: the yolks.",Rock,The Yolks,train,Rock,small
1891,"Track: Kids In Cars. Artist: Thee Oh Sees. Album: Peanut Butter Oven EP. From San Francisco, CA. Tags: thee oh sees.",Rock,Thee Oh Sees,train,Rock,small
1893,"Track: Memories. Artist: Tommy Jay. Album: Tommy Jay's Tall Tales Of Trauma. From Columbus, OH. Tags: tommy jay, columbus, ohio.",Folk,Tommy Jay,val,Folk,small
1924,Track: Calling For You. Artist: The Twin Atlas. Album: Inside the Skate Scandal. From New Jersey. Tags: the twin atlas.,Folk,The Twin Atlas,train,Folk,small
1925,Track: Happy At The Wheel. Artist: The Twin Atlas. Album: Magic Car Wash. From New Jersey. Tags: the twin atlas.,Folk,The Twin Atlas,train,Folk,small
1929,"Track: Buzz Chant. Artist: U.S. Girls. Album: Spleencoffin presents: Ladyz in Noyz. Tags: avant garde, experimental, noise, san francisco, big city orchestrae, big city orchestrae womens auxiliary, american cassette noise network, baltimore, us girls.",Avant-Garde|Experimental,U.S. Girls,train,Experimental,small
1930,"Track: So Thereby...and furthermore...thus henceforth...Mono. Artist: Upsilon Acrux. Album: Galapagos Momentum. From Los Angeles, CA. Tags: upsilon acrux.",Rock,Upsilon Acrux,train,Rock,small
2012,"Track: The White Mice. Artist: White Mice. Album: Assphixxxeateshun. From Providence, RI. Tags: providence, white mice.",Noise|Experimental,White Mice,val,Experimental,small
2096,"Track: title unknown. Artist: Grouper. Album: 1st CD-R. From Portland, OR. Tags: portland, grouper.",Experimental,Grouper,train,Experimental,small
2097,Track: My Sweet Miasma. Artist: Hall Of Fame. Album: Paradise Now. Tags: hall of fame.,Folk,Hall Of Fame,train,Folk,small
2099,"Track: ....like bacon sundays. Artist: luc. Album: peaofthesea. From Portland, OR. Tags: luc.",Pop|Experimental Pop,luc,train,Pop,small
3263,"Track: A Date. Artist: Ai Aso. Album: Live at WFMU on Michael Goodstein's Show on 9/27/2008. From Shinjuku, Tokyo. Tags: japan psychedelic rockfolk, ai aso.",Folk,Ai Aso,val,Folk,small
3264,"Track: Tee Te Te. Artist: Ai Aso. Album: Live at WFMU on Michael Goodstein's Show on 9/27/2008. From Shinjuku, Tokyo. Tags: japan psychedelic rockfolk, ai aso.",Folk,Ai Aso,val,Folk,small
3265,"Track: Lavender. Artist: Ai Aso. Album: Live at WFMU on Michael Goodstein's Show on 9/27/2008. From Shinjuku, Tokyo. Tags: japan psychedelic rockfolk, ai aso.",Folk,Ai Aso,val,Folk,small
3266,"Track: Land. Artist: Ai Aso. Album: Live at WFMU on Michael Goodstein's Show on 9/27/2008. From Shinjuku, Tokyo. Tags: japan psychedelic rockfolk, ai aso.",Folk,Ai Aso,val,Folk,small
3270,Track: Song for Obol. Artist: Arborea. Album: Arborea Live at WFMU on Irene Trudel's Show on 6/2/2008. Tags: arborea.,Folk,Arborea,train,Folk,small
3271,Track: Beirut. Artist: Arborea. Album: Arborea Live at WFMU on Irene Trudel's Show on 6/2/2008. Tags: arborea.,Folk,Arborea,train,Folk,small
3272,Track: Seadrift. Artist: Arborea. Album: Arborea Live at WFMU on Irene Trudel's Show on 6/2/2008. Tags: arborea.,Folk,Arborea,train,Folk,small
3273,Track: Redbird. Artist: Arborea. Album: Arborea Live at WFMU on Irene Trudel's Show on 6/2/2008. Tags: arborea.,Folk,Arborea,train,Folk,small
3274,Track: Forewarned. Artist: Arborea. Album: Arborea Live at WFMU on Irene Trudel's Show on 6/2/2008. Tags: arborea.,Folk,Arborea,train,Folk,small
3492,"Track: On The Wings. Artist: Citay. Album: Live at WFMU on Liz Berg's Show on 3/24/2008. From San Francisco, CA. Tags: san francisco, citay.",Rock,Citay,train,Rock,small
3532,"Track: Heaven Is Human. Artist: Cryptacize. Album: Live at WFMU on Liz Berg's Show on 6/13/2008. From Oakland, CA. Tags: cryptacize, bay area.",Pop|Experimental Pop,Cryptacize,train,Pop,small
3533,"Track: New Spell. Artist: Cryptacize. Album: Live at WFMU on Liz Berg's Show on 6/13/2008. From Oakland, CA. Tags: cryptacize, bay area.",Pop|Experimental Pop,Cryptacize,train,Pop,small
3534,"Track: Cosmic Sing-a-long. Artist: Cryptacize. Album: Live at WFMU on Liz Berg's Show on 6/13/2008. From Oakland, CA. Tags: cryptacize, bay area.",Pop|Experimental Pop,Cryptacize,train,Pop,small
3535,"Track: No Coins. Artist: Cryptacize. Album: Live at WFMU on Liz Berg's Show on 6/13/2008. From Oakland, CA. Tags: cryptacize, bay area.",Pop|Experimental Pop,Cryptacize,train,Pop,small
3537,"Track: We'll Never Dream Again. Artist: Cryptacize. Album: Live at WFMU on Liz Berg's Show on 6/13/2008. From Oakland, CA. Tags: cryptacize, bay area.",Pop|Experimental Pop,Cryptacize,train,Pop,small
3538,"Track: Say You Will. Artist: Cryptacize. Album: Live at WFMU on Liz Berg's Show on 6/13/2008. From Oakland, CA. Tags: cryptacize, bay area.",Pop|Experimental Pop,Cryptacize,train,Pop,small
3573,"Track: Piggled. Artist: Dan Deacon. Album: Live at WFMU on OCDJ's Show on 7/23/2003. From Baltimore, MD. Tags: wham city, dan deacon, baltimore.",Electronic,Dan Deacon,train,Electronic,small
3598,"Track: Little Eyes. Artist: Ed Askew. Album: Live at WFMU 10/30/07 on Hatch's Show. From New York, NY. Tags: ed askew.",Folk,Ed Askew,train,Folk,small
3624,"Track: Days of Summer. Artist: Fallen Leaves. Album: Live at WFMU on Evan Davies's Show on 9/16/2008. From London, UK. Tags: fallen leaves.",Post-Punk|Rock|Punk,Fallen Leaves,test,Rock,small
3707,Track: Stable the Spuds. Artist: Gary Higgins. Album: Live at WFMU on Brian Turner's Show on 7/26/2005. Tags: gary higgins.,Folk,Gary Higgins,train,Folk,small
3708,Track: Thicker Than A Smokey. Artist: Gary Higgins. Album: Live at WFMU on Brian Turner's Show on 7/26/2005. Tags: gary higgins.,Folk,Gary Higgins,train,Folk,small
3720,"Track: Walking on the Water. Artist: Indian Jewelry. Album: Live at WFMU on Liz B's Show on 7/7/2008. From Houston, TX. Tags: indian jewelry.",Rock,Indian Jewelry,train,Rock,small
3721,"Track: Pow Wow. Artist: Indian Jewelry. Album: Live at WFMU on Liz B's Show on 7/7/2008. From Houston, TX. Tags: indian jewelry.",Rock,Indian Jewelry,train,Rock,small
3722,"Track: Swans. Artist: Indian Jewelry. Album: Live at WFMU on Liz B's Show on 7/7/2008. From Houston, TX. Tags: indian jewelry.",Rock,Indian Jewelry,train,Rock,small
3724,"Track: Temporary Famine Ship. Artist: Indian Jewelry. Album: Live at WFMU on Liz B's Show on 7/7/2008. From Houston, TX. Tags: indian jewelry.",Rock,Indian Jewelry,train,Rock,small
3725,"Track: West Alabama. Artist: Indian Jewelry. Album: Live at WFMU on Liz B's Show on 7/7/2008. From Houston, TX. Tags: indian jewelry.",Rock,Indian Jewelry,train,Rock,small
3761,"Track: Improv. Artist: Kinski. Album: Live at WFMU on Brian Turner's Show on 4/22/2003. From Seattle, WA. Tags: kinski.",Post-Rock|Rock,Kinski,train,Rock,small
3762,"Track: Snowy Parts of Scandinavia. Artist: Kinski. Album: Live at WFMU on Brian Turner's Show on 4/22/2003. From Seattle, WA. Tags: kinski.",Post-Rock|Rock,Kinski,train,Rock,small
3763,"Track: Shelley Winters Overdrive. Artist: Kinski. Album: Live at WFMU on Brian Turner's Show on 4/22/2003. From Seattle, WA. Tags: kinski.",Post-Rock|Rock,Kinski,train,Rock,small
3765,"Track: Waves of Second Guessing. Artist: Kinski. Album: Live at WFMU on Brian Turner's Show on 4/22/2003. From Seattle, WA. Tags: kinski.",Post-Rock|Rock,Kinski,train,Rock,small
3766,"Track: Rhode Island Freakout. Artist: Kinski. Album: Live at WFMU on Brian Turner's Show on 4/22/2003. From Seattle, WA. Tags: kinski.",Post-Rock|Rock,Kinski,train,Rock,small
3775,"Track: Cumbia Infierno. Artist: La Troba Kung-Fu. Album: Live at WFMU on Rob Weisberg's Show on 10/18/2008. From BCN, Spain. Tags: la troba kung-fu.",International|Latin America,La Troba Kung-Fu,train,International,small
3776,"Track: La Canco de Lladre. Artist: La Troba Kung-Fu. Album: Live at WFMU on Rob Weisberg's Show on 10/18/2008. From BCN, Spain. Tags: la troba kung-fu.",International|Latin America,La Troba Kung-Fu,train,International,small
