id,text,labels,group,split,start_s,end_s
-QuWdnmn-kM,This is a lullaby that features a main melody made with a xylophone that has a bright sound. A sustained piano synth creates a dreamy and sleepy ambience sound. A subtle cello plays single chords that bounce from one beat to the next. This is a song a baby could fall asleep to.,bass guitar|slow tempo,-QuWdnmn-kM,,30,40
-RYtUAsNhF0,"This is a poor quality instrumental piece played in the background of a sign language video. There is an optimistic sounding tune being played by the strings, the piano and the acoustic guitar. The atmosphere is mellow and gentle. Samples from this piece could be lifted to be used in beat-making.",instrumental|piano|acoustic guitar|mellow,-RYtUAsNhF0,,30,40
-SD43H5B5hE,There is a low sound that reminds of a heartbeat rising in tempo before a splash-like metallic sound with reverb comes in and breaks the atmosphere in half. This audio may be used for a movie scene. This audio is in poor quality.,amateur recording,-SD43H5B5hE,,520,530
-SWaCArvQug,Ambient sound still in the room with a mild background music playing. A male singer sings a passionate melody with subtle background music. The audio quality is very poor with drawer sliding sound and general noise.,instrumental|male singer|medium tempo,-SWaCArvQug,,21,31
-T4GeTHKtJQ,"The low quality recording features a compilation of rock songs and it consists of punchy kicks, wide electric guitar melodies, distorted bass guitar, energetic crash cymbals, shimmering hi hats and harmonizing male vocals singing over it. It sounds energetic.",low quality|rock|punchy kick|punchy kick|shimmering hi hats|energetic,-T4GeTHKtJQ,,30,40
-U16iKiXGuY,"The low quality recording features a live performance of a R&B song that consists of a mellow piano melody and an emotional female vocal singing over it. There are some noises in the recording, alongside lip smack noise.",low quality|noisy|live performance,-U16iKiXGuY,,30,40
-Umconw-CRE,"The low quality recording features a cover of a rock song with a rock instrumental playback playing in the background and electric guitar solo melody playing on top of it. It sounds muffled and noisy, as it was probably recorded with a low quality microphone, but it is still passionate and emotional.",low quality|noisy|passionate|emotional,-Umconw-CRE,,30,40
-UuEBhule84,"The low quality recording features a flat male vocal singing over acoustic rhythm guitar chords, after which that same vocal is talking. The song sounds passionate, while the recording, overall, is noisy and in mono.",low quality|noisy|mono|flat male vocal|passionate,-UuEBhule84,,350,360
-VI2IRq17rs,"In this clip, a large bell is rung and left to ring. We can hear the resonance in the room as the bell rings. There is then the faint sound of a male speaking in the background. It's a live recording.",male voice,-VI2IRq17rs,,360,370
-VclCul6FrI,"The low quality recording features a jazzy organ keys melody. The recording is in mono, noisy, muffled and slightly distorted.",low quality|noisy|mono,-VclCul6FrI,,80,90
-Vo4CAMX26U,"The low quality recording features a low windpipe vocal sound played in nature, surrounded by flowing water and chirping birds sound effects. Sounds a bit harsh and loud, as the tone of the windpipe is constantly changing.",low quality|loud,-Vo4CAMX26U,,30,40
-W5c6CeUMPE,This is a Swiss folk music piece. There is a male vocal and there is a female vocal. They are yodeling as a duet. The melody in the background is being played by a melodeon. There is a pastoral feel to it. This piece could be used in the soundtrack of a movie that takes place in the Alps region.,male vocal,-W5c6CeUMPE,,40,50
-WvVG0wHcTc,"The low quality recording features a classical live performance of sustained violin melody, shimmering hi hats, electric guitar melody, theremin solo melody and subtle female vocals at the end of the loop. There are some crowd clapping sounds in the background. It is noisy, in mono and it sounds passionate and emotional.",shimmering hi hats|live performance|low quality|noisy|mono|passionate|emotional,-WvVG0wHcTc,,310,320
-XN0NtrnfMY,"The low quality recording features a rock song instrumental that consists of shimmering hi hats, punchy snare, groovy bass guitar, acoustic rhythm guitar in the left channel and electric guitar chord progression in the right channel of the stereo image. It sounds energetic and addictive.",low quality|rock|instrumental|shimmering hi hats|punchy snare|groovy bass|energetic,-XN0NtrnfMY,,30,40
-XkbErI_7EU,This slow jazz song features male voices singing the main melody in harmony. This is accompanied by percussion playing a simple beat. The double bass plays the root notes of the chords. Trumpets play a fill in harmony in between lines. A piano plays an arpeggiated chord at the end of the first line. This song has a romantic mood. This song can be played in a classic romantic movie.,piano|slow tempo,-XkbErI_7EU,,50,60
-YATTKBtmRA,This is a hip-hop music piece. There is a crisp synth sound playing the melody. The piece has a strong bass sound. There is a melodic pad with beat repeat effect that uses a piano sample. The rhythmic background is provided by a loud electronic drum beat. The piece is energetic and modern sounding. It could be used in the soundtrack of a sci-fi movie where there is a lot of action going on.,energetic,-YATTKBtmRA,,190,200
-YIT4HBM__g,"A female vocalist sings this mellifluous song.The tempo is slow with the vocalist singing a soprano, with alto choral harmony. There are sounds of rustling, whirring,scuttling and people talking in the background. The vocals are beautiful, mellifluous,and ethereal.",amateur recording,-YIT4HBM__g,,30,40
-ZHpNr_KRXU,Someone is playing a percussive instrument that reminds a little bit of a tabla while someone else is playing a fast melody on an accordion. A male voice is singing at a higher pitch. This song may be playing live.,amateur recording|percussion,-ZHpNr_KRXU,,30,40
-_6RxZyi30Q,This is an amateur recording of a dance performance over a latin dance music piece in the style of zumba. There is a female dance instructor shouting directions to the dancers. There is a male vocalist singing melodically in the background piece. A strong bass and a loud electronic drum beat can be heard very distinctly. The atmosphere is energetic. The quality of the recording is quite poor.,amateur recording|male vocal|energetic,-_6RxZyi30Q,,70,80
-_OzT7Xyvok,Amateur recording of two nylon string guitars playing in flamenco style. The playing is technically challenging yet sloppy.,amateur recording,-_OzT7Xyvok,,30,40
-bgHkxwoliw,Digital drums are playing a four on the floor rhythm with a kick on every beat along with a bassline and a keyboard sound playing short rhythmic chords and a e-guitar playing a simple melody along. A male voice is singing in a higher key. This song may be playing at a folkfest.,pop|e-guitar|bass|uptempo,-bgHkxwoliw,,30,40
-cLzki-B06o,This is a Kurdish folk music piece. The main melody is first played by the baglama and then by the zurna. The rhythmic background consists of an electronic drum beat and supportive percussive elements. The atmosphere is lively. This piece could be used as an accompaniment piece for a folk dance course such as the halay dance.,electronic drums|percussion|upbeat,-cLzki-B06o,,30,40
-cQ-jUTEgck,This is a live performance of a southern rock piece. There is an electric guitar playing a blues solo. There is a bass guitar playing in the background. The rhythm is being played by the acoustic drums. The atmosphere is groovy. This piece could be playing in the background at a rock bar.,live performance|electric guitar|bass guitar|acoustic drums|groovy,-cQ-jUTEgck,,30,40
-dVgUSrR8g4,"This song is a vigorous metal instrumental. The tempo is fast with intense drumming, fiery electric guitar riff, amplified guitar rhythms and energetic keyboard accompaniment. The music is energetic, aggressive, youthful, spirited, goth, intense,psychedelic and trance like. This instrumental is Hard Rock/Metal.",energetic|spirited|fast tempo,-dVgUSrR8g4,,30,40
-e4wXAy1iVo,Two female voices are singing in harmony to a ukulele strumming chords. One of the voices is deeper and the other one higher. This song may be jamming together at home.,pop|amateur recording,-e4wXAy1iVo,,0,10
-eDAoheZrY8,"The song is an instrumental. The song is slow tempo with building crescendo , string section harmony, horn section, drums playing steadily and piano accompaniment. The song is suspenseful and builds anticipation. The song is a movie soundtrack and has an average audio quality.",instrumental music,-eDAoheZrY8,,30,40
-f1DNyngKVY,This is an instrumental sitar music piece. The sitar is being played at a medium-to-high range. There is a calming and relaxing atmosphere to this piece. This piece can be used in the background of a meditation video. It could also be played during a meditation session at a course.,instrumental,-f1DNyngKVY,,30,40
-f6s6kQEHFY,This slow ballad features a female voice singing the main melody. This is accompanied by a repetitive piano melody. The bass plays the root notes of the chords in staccato style in eighth note patterns. Synth horns play in the background at different pitches. The song has an ambient and ethereal feel. The mood of the song is haunting. This song can be played in a sad scene in a movie.,slow tempo|bass,-f6s6kQEHFY,,0,10
-fxh7jAJR8U,"Male singers sing this vocal harmony. The tempo is medium with a steady drumming rhythm, various percussion tones, keyboard accompaniment, steady bass line and tambourine percussion. The song is soothing and romantic. The song is a retro pop hit.",medium tempo|romantic|passionate|passionate|spirited,-fxh7jAJR8U,,70,80
-hSMzrWZCAE,The pop rock music features a male voice singing. An electric guitar with a distortion effect on plays plays two chords every two measures. The drums play a strong rhythm and together with a synth bass drive the pulse of the music.,male voice|electric guitar,-hSMzrWZCAE,,30,40
-hYRFCQdbLg,"The Low quality recording features an upbeat instrumental playing in the background on some kind of speaker, while a loud marimba melody is played over it. It kind of sounds off beat, also the sound is mostly located in the left channel of the stereo image, which makes the recording imbalanced and low in quality.",noisy|low quality,-hYRFCQdbLg,,30,40
-i9gpG3vPwA,"This audio clip is an electronic instrumental of two different tracks with medium fast tempo. The first tempo has an amplified piano playing an emphatic harmony along with digital drums. The second track has emphatic digital drums and electronic /synthesised music arrangement. Both the tracks are melodious, pleasant, harmonic, futuristic, captivating and engaging with a dance groove.",instrumental|keyboard harmony,-i9gpG3vPwA,,30,40
-i9uQMysy_A,"This audio clip is of a male vocalist beat boxing. The tempo is fast with the vocalist mimicking vigorous drumming, drum machine rhythms, turn table and other percussions.the rhythm is vigorous, energetic and tireless.",energetic,-i9uQMysy_A,,80,90
-jpbCWcz2pk,This is a comedic hip-hop music piece. There is a male vocal rapping in the lead. The melody in the beat is being played by the piano and the electric guitar while a bass guitar plays in the background. The rhythm is provided by an electronic drum beat. The piece has an amusing aura to it. It could be used in the background of funny social media content.,male vocal|piano|electric guitar|bass guitar|electronic drums,-jpbCWcz2pk,,30,40
-kpR93atgd8,An acoustic drum is playing along with a bassline giving the song a ska/reggae feeling. The e-guitar strumming on the offbeat supports that feeling while a keyboard is playing a bell-sounding chord. Bongos are setting little accents at the end. A saxophone is playing a melody along. This song may be playing at a festival outside while the sun is shining.,e-guitar|acoustic drums|percussion|e-bass|fast tempo,-kpR93atgd8,,30,40
-lPXTBXa0tE,The song is an instrumental. The song is medium tempo played by a solo guitarist on a vintage super tone with an exquisite tone. The song is emotional and passionate. The song has poor audio quality.,passionate|spirited|instrumental music|medium tempo,-lPXTBXa0tE,,30,40
-m5ZlWziIeA,This amateur recording features a vinyl scratch being played on a DJ console. This is accompanied by programmed percussion playing a simple beat at a fast tempo. The hi-hat is struck in eighth notes. The snare and kick are played in a unique pattern. A synth plays a two-note lick at different intervals. Other instruments are not audible as the audio quality is low.,amateur recording|bass|moderate tempo|male voice,-m5ZlWziIeA,,200,210
-m9pH0WXQto,"The Electro Pop song features a flat female vocal, occasionally supported by wide background female doubling vocals, singing over quiet drums, groovy and boomy bass, arpeggiated synth melody and some sound effects of the airplane and the explosion. In the second part, the drums cut through the mix more, therefore they are more audible, while the new elements appear, including shimmering bells and simple hi hats. Sounds like a low quality recording, especially because of that first part of the loop.",low quality,-m9pH0WXQto,,110,120
-mA_bqD1tgU,"The low quality recording features a folk song that consists of a wooden percussion, groovy bass, breathy flute melody, groovy piano melody, shimmering shakers and sustained strings melody. It sounds passionate, joyful and happy.",low quality|groovy bass|passionate|happy,-mA_bqD1tgU,,30,40
-mB_XLq6g1g,This audio contains an acoustic drum playing a groove along with a simple bassline. Trumpets are playing a melody that sounds out of tune and all over the place while a kids voice is streaming and you can hear some aggressive clicking sounds. This song may be playing for a parody video.,amateur recording|acoustic drums|e-bass,-mB_XLq6g1g,,30,40
-nlkWWphiaM,"The low quality recording features a live performance that consists of fruity male vocal singing over accordion melody, acoustic rhythm guitar chords and shimmering bells. It sounds emotional and hopeful. The recording is a bit noisy and in mono, as it was probably recorded with a phone.",low quality|live performance|emotional|mono|noisy,-nlkWWphiaM,,30,40
-o0ZtQIkM60,This is a video game theme. There is a cinematic string sound playing the melody while the wind sound effect implies there is a snowstorm. A male choir starts singing alongside orchestral percussive elements. There is an epic atmosphere. This piece could fit well in the soundtrack of a thriller video game where there is a face-off about to happen.,percussion,-o0ZtQIkM60,,30,40
-oP-XX28B0s,"A male singer sings this cool hip hop love song with backup singers in vocal harmony. The tempo is medium with keyboard accompaniment, piano accompaniment, steady drumming rhythm, clapping percussion and other sonic effects. The song is emotional and romantic with a cool dance groove,",male singer|live performance|emotional|romantic|passionate,-oP-XX28B0s,,30,40
-pUfYFcsgG4,This recording contains environmental sounds such as birds singing. Then bells start playing a melody with a long release time. This is an amateur recording. This song may be playing outside in a park at a fixed time.,amateur recording,-pUfYFcsgG4,,0,10
-qcTD2o6I9s,The kick is playing on every beat along with a fast paced high hat and a snare sound. The digital bass is adding some spice and sounds overdriven. Pad sounds can be heard in the background while a synth lead sound is playing a simple repetitive melody. A male voice is rapping/singing. A lot of backing vocals with delay are adding energy to the mix. This song may be playing in a car.,fast tempo,-qcTD2o6I9s,,30,40
-r2-9oyIzkQ,"The Romance song features an electric guitar lick, low toms roll and soft crash cymbal, followed by emotional piano chord progression and wide background crowd screams, as the passionate male vocal sings over it. Judging by the crowd sound effect, it seems that this is a live performance. Sounds emotional, passionate, heartfelt and romantic.",romantic|emotional|passionate,-r2-9oyIzkQ,,30,40
-r7iz-9v9bA,This song features a female voice singing in opera style using only vocables and no words. This is accompanied by violins playing eighth note patterns that change according to the chords being played. The bass follows the root notes of the chords. A muted guitar or string instrument plays arpeggiated chords. This song can be played in a fantasy game.,bass|slow tempo,-r7iz-9v9bA,,30,40
-rAhS48FkYw,"The low quality recording features a pop song that consists of a passionate male vocal singing over mellow kick hits, shimmering hi hats, wide electric guitar melody, syncopated snare and wooden percussion. The first half of the loop does not consist of the vocal, snare and hi hats. It sounds happy, fun and joyful.",low quality|pop|happy|fun|shimmering hi hats,-rAhS48FkYw,,30,40
-sRFfU8k0Zs,"This is an Arabic movie music piece. It is an instrumental piece. There is a clarinet playing a vague melody. The sound of knives being rubbed against one another can be heard. There is an ominous, terrifying atmosphere. This piece could be used in the soundtrack of a horror movie to imply the feeling of hopelessness.",instrumental,-sRFfU8k0Zs,,90,100
-sevczF5etI,"The Folk song features a passionately played sitar guitar, groovy bass and short offbeat accordion chords, followed by metallic percussive elements and punchy kick. The recording is a bit lower in quality due to loud clicky keys sounds. It sounds passionate and emotional.",groovy bass|punchy kick|low quality|emotional,-sevczF5etI,,30,40
-taO6N-rxv4,This is a rock music piece playing in the background of a tutorial video. There is an electric guitar playing a simple tune as the lead while another provides a rhythmic backing by playing the same note repeatedly in rapid procession. There is an acoustic drum beat playing. There are water sound effects related to the video. The piece has a generic feeling. It does not evoke much excitement. It could be used as a jingle for an advertisement or in the background of an instructive video.,electric guitar|acoustic drums|loud,-taO6N-rxv4,,30,40
-tmY1GEH3_Y,"The low quality recording features a pop song that consists of an echoing male vocal singing over punchy kick and snare hits, shimmering hi hats, metallic percussions, synth lead melody, synth pad chords and groovy synth bass. It sounds energetic, nostalgic and exciting - like something you would hear in clubs during the 80s.",low quality|pop|punchy snare|shimmering hi hats|punchy kick|energetic|exciting,-tmY1GEH3_Y,,30,40
-uaTK8sa5Ms,An acoustic drum set is playing a 16th note rhythm using the edge of his snare and a hihat sound opening and closing. A banjo is playing a fast melody along with a violin/viola playing the same melody. An upright bass is playing a walking bassline. This song may be playing in a funny tv-show.,uptempo,-uaTK8sa5Ms,,10,20
-v5hgCh3M2w,"The Soft Rock song features a passionate female vocalist singing over a wide electric guitar melody, punchy snare, soft kick hits, groovy bass guitar and shimmering hi-hats. It sounds sad, emotional and passionate - like something you would listen to on a day you are feeling down.",punchy snare|shimmering hi hats|emotional|passionate,-v5hgCh3M2w,,30,40
-w12aSkQ9No,"A female vocalist sings this soprano solo. The tempo is slow with a classic orchestral accompaniment of violin harmony, an intense incessant cello melody, brass instrument and organ. The song is an intense, emotional, beseeching, sad, and imploring classic opera .",slow tempo|passionate|emotional,-w12aSkQ9No,,30,40
-w4HLksto_k,"The low quality recording features a flat male vocal singing over digital piano melody and wooden percussion. The recording is noisy, in mono, loud and distorted.",low quality|mono|noisy|flat male vocal|loud,-w4HLksto_k,,30,40
-w8maIWtnUk,This is an instrumental jam recording of a gear showcase. There is an electric guitar with a clear sound being played with an echo pedal. It gives the recording a dreamy feeling. This track can be used to lift guitar samples with effect for a beat.,instrumental|electric guitar,-w8maIWtnUk,,30,40
-wVWjl9Kq6U,"This music is a melodic instrumental. The tempo is medium with a captivating electric guitar lead, rhythmic acoustic guitar, funky bass line, keyboard accompaniment, steady drumming and trumpets. The music is soothing, atmospheric, euphonious, youthful, and soulful. This instrumental is a Soft Rock/Funk pop.",instrumental|medium tempo|groovy|youthful,-wVWjl9Kq6U,,240,250
-wymN80CiYU,"A male singer sings this beautiful melody with backup singers in vocal harmony. The song is medium tempo with a percussive string section, strong bass line, guitar lead, steady drumming rhythm , keyboard accompaniment and various percussion clicks. The song is emotional and romantic. The song is of poor audio quality.",male singer|medium tempo|keyboard harmony|emotional|romantic|poor audio quality,-wymN80CiYU,,130,140
